Name,,Voted By,Inducted As,Votes,% of Ballots
Cool Papa Bell,1903-1991,Negro League,Player,,
Jim Bottomley,1900-1959,Veterans,Player,,
Jocko Conlan,1899-1989,Veterans,Umpire,,
Whitey Ford,1928-2020,BBWAA,Player,284,77.80%
Mickey Mantle,1931-1995,BBWAA,Player,322,88.20%
Sam Thompson,1860-1922,Veterans,Player,,
Roberto Clemente,1934-1972,Special Election,Player,,
Billy Evans,1884-1956,Veterans,Umpire,,
Monte Irvin,1919-2016,Negro League,Player,,
High Pockets Kelly,1895-1984,Veterans,Player,,
Warren Spahn,1921-2003,BBWAA,Player,316,83.20%
Mickey Welch,1859-1941,Veterans,Player,,
Yogi Berra,1925-2015,BBWAA,Player,339,85.60%
Josh Gibson,1911-1947,Negro League,Player,,
Lefty Gomez,1908-1989,Veterans,Player,,
Will Harridge,1881-1971,Veterans,Pioneer/Executive,,
Sandy Koufax,1935-Living,BBWAA,Player,344,86.90%
Buck Leonard,1907-1997,Negro League,Player,,
Early Wynn,1920-1999,BBWAA,Player,301,76.00%
Ross Youngs,1897-1927,Veterans,Player,,
Dave Bancroft,1891-1972,Veterans,Player,,
Jake Beckley,1867-1918,Veterans,Player,,
Chick Hafey,1903-1973,Veterans,Player,,
Harry Hooper,1887-1974,Veterans,Player,,
Joe Kelley,1871-1943,Veterans,Player,,
Rube Marquard,1886-1980,Veterans,Player,,
Satchel Paige,1906-1982,Negro League,Player,,
George Weiss,1894-1972,Veterans,Pioneer/Executive,,
Lou Boudreau,1917-2001,BBWAA,Player,232,77.30%
Earle Combs,1899-1976,Veterans,Player,,
Ford Frick,1894-1978,Veterans,Pioneer/Executive,,
Jesse Haines,1893-1978,Veterans,Player,,
Roy Campanella,1921-1993,BBWAA,Player,270,79.40%
Stan Coveleski,1889-1984,Veterans,Player,,
Waite Hoyt,1899-1984,Veterans,Player,,
Stan Musial,1920-2013,BBWAA,Player,317,93.20%
Kiki Cuyler,1898-1950,Veterans,Player,,
Goose Goslin,1900-1971,Veterans,Player,,
Joe Medwick,1911-1975,BBWAA,Player,240,84.80%
Branch Rickey,1881-1965,Veterans,Pioneer/Executive,,
Red Ruffing,1905-1986,Run Off,Player,266,86.90%
Lloyd Waner,1906-1982,Veterans,Player,,
Casey Stengel,1890-1975,Veterans,Manager,,
Ted Williams,1918-2002,BBWAA,Player,282,93.40%
Pud Galvin,1856-1902,Veterans,Player,,
Luke Appling,1907-1991,Run Off,Player,189,94.00%
Red Faber,1888-1976,Veterans,Player,,
Burleigh Grimes,1893-1985,Veterans,Player,,
Miller Huggins,1878-1929,Veterans,Manager,,
Tim Keefe,1857-1933,Veterans,Player,,
Heinie Manush,1901-1971,Veterans,Player,,
John Ward,1860-1925,Veterans,Player,,
John Clarkson,1861-1909,Veterans,Player,,
Elmer Flick,1876-1971,Veterans,Player,,
Sam Rice,1890-1974,Veterans,Player,,
Eppa Rixey,1891-1963,Veterans,Player,,
Bob Feller,1918-2010,BBWAA,Player,150,93.80%
Bill McKechnie,1886-1965,Veterans,Manager,,
Jackie Robinson,1919-1972,BBWAA,Player,124,77.50%
Edd Roush,1893-1988,Veterans,Player,,
Max Carey,1890-1976,Veterans,Player,,
Billy Hamilton,1866-1940,Veterans,Player,,
Zack Wheat,1888-1972,Veterans,Player,,
Sam Crawford,1880-1968,Veterans,Player,,
Joe McCarthy,1887-1978,Veterans,Manager,,
Joe Cronin,1906-1984,BBWAA,Player,152,78.80%
Hank Greenberg,1911-1986,BBWAA,Player,164,85.00%
Home Run Baker,1886-1963,Veterans,Player,,
Joe DiMaggio,1914-1999,BBWAA,Player,223,88.80%
Gabby Hartnett,1900-1972,BBWAA,Player,195,77.70%
Ted Lyons,1900-1986,BBWAA,Player,217,86.50%
Ray Schalk,1892-1970,Veterans,Player,,
Dazzy Vance,1891-1961,BBWAA,Player,205,81.70%
Bill Dickey,1907-1993,BBWAA,Player,202,80.20%
Rabbit Maranville,1891-1954,BBWAA,Player,209,82.90%
Bill Terry,1898-1989,BBWAA,Player,195,77.40%
Ed Barrow,1868-1953,Veterans,Pioneer/Executive,,
Charles Bender,1884-1954,Veterans,Player,,
Tommy Connolly,1870-1961,Veterans,Umpire,,
Dizzy Dean,1910-1974,BBWAA,Player,209,79.20%
Bill Klem,1874-1951,Veterans,Umpire,,
Al Simmons,1902-1956,BBWAA,Player,199,75.40%
Bobby Wallace,1873-1960,Veterans,Player,,
Harry Wright,1835-1895,Veterans,Pioneer/Executive,,
Harry Heilmann,1894-1951,BBWAA,Player,203,86.80%
Paul Waner,1903-1965,BBWAA,Player,195,83.30%
Jimmie Foxx,1907-1967,BBWAA,Player,179,79.20%
Mel Ott,1909-1958,BBWAA,Player,197,87.20%
Mordecai Brown,1876-1948,Old Timers,Player,,
Charlie Gehringer,1903-1993,Run Off,Player,159,85.00%
Kid Nichols,1869-1953,Old Timers,Player,,
Herb Pennock,1894-1948,BBWAA,Player,94,77.70%
Pie Traynor,1898-1972,BBWAA,Player,93,76.90%
Mickey Cochrane,1903-1962,BBWAA,Player,128,79.50%
Frankie Frisch,1897-1973,BBWAA,Player,136,84.50%
